LESTE,NORTE,ANOM
652198,7284826,0.00
652298,7284826,0.00
652398,7284826,0.00
652498,7284826,0.00
652598,7284826,0.00
652698,7284826,0.00
652798,7284826,0.00
652898,7284826,0.00
652998,7284826,0.00
653098,7284826,0.00
653198,7284826,0.00
653298,7284826,0.00
653398,7284826,0.00
653498,7284826,0.00
653598,7284826,0.00
653698,7284826,0.00
653798,7284826,0.00
653898,7284826,0.00
653998,7284826,0.00
654098,7284826,0.00
654198,7284826,0.00
654298,7284826,0.00
654398,7284826,0.00
654498,7284826,0.00
654598,7284826,0.00
654698,7284826,0.00
654798,7284826,0.00
654898,7284826,0.00
654998,7284826,0.00
655098,7284826,0.00
655198,7284826,0.00
655298,7284826,0.00
655398,7284826,0.00
655498,7284826,0.00
655598,7284826,0.00
655698,7284826,0.00
655798,7284826,0.00
655898,7284826,0.00
655998,7284826,0.00
656098,7284826,0.00
656198,7284826,0.00
656298,7284826,0.00
656398,7284826,0.00
656498,7284826,0.00
656598,7284826,0.00
656698,7284826,0.00
656798,7284826,0.00
656898,7284826,0.00
656998,7284826,0.00
657098,7284826,0.00
657198,7284826,0.00
657298,7284826,0.00
657398,7284826,0.00
657498,7284826,0.00
657598,7284826,0.00
657698,7284826,0.00
657798,7284826,0.00
657898,7284826,0.00
657998,7284826,0.00
658098,7284826,0.00
658198,7284826,0.00
658298,7284826,0.00
658398,7284826,0.00
658498,7284826,0.00
658598,7284826,0.00
658698,7284826,0.00
658798,7284826,0.00
658898,7284826,0.00
658998,7284826,0.00
659098,7284826,0.00
659198,7284826,0.00
659298,7284826,0.00
659398,7284826,0.00
659498,7284826,0.00
659598,7284826,0.00
659698,7284826,0.00
659798,7284826,0.00
659898,7284826,0.00
659998,7284826,0.00
660098,7284826,0.00
660198,7284826,0.00
660298,7284826,0.00
660398,7284826,0.00
660498,7284826,0.00
660598,7284826,0.00
660698,7284826,0.00
660798,7284826,0.00
660898,7284826,0.00
660998,7284826,0.00
661098,7284826,0.00
661198,7284826,0.00
661298,7284826,0.00
661398,7284826,0.00
661498,7284826,0.00
661598,7284826,0.00
661698,7284826,0.00
661798,7284826,0.00
661898,7284826,0.00
661998,7284826,0.00
662098,7284826,0.00
662198,7284826,0.00
662298,7284826,0.00
662398,7284826,0.00
662498,7284826,0.00
662598,7284826,0.00
662698,7284826,0.00
