,LESTE,NORTE,ANOM,GH
0,652198,7284826,0.0,0.0
1,652298,7284826,0.0,0.0
2,652398,7284826,0.0,0.0
3,652498,7284826,0.0,0.0
4,652598,7284826,0.0,0.0
5,652698,7284826,0.0,0.0
6,652798,7284826,0.0,0.0
7,652898,7284826,0.0,0.0
8,652998,7284826,0.0,0.0
9,653098,7284826,0.0,0.0
10,653198,7284826,0.0,0.0
11,653298,7284826,0.0,0.0
12,653398,7284826,0.0,0.0
13,653498,7284826,0.0,0.0
14,653598,7284826,0.0,0.0
15,653698,7284826,0.0,0.0
16,653798,7284826,0.0,0.0
17,653898,7284826,0.0,0.0
18,653998,7284826,0.0,0.0
19,654098,7284826,0.0,0.0
20,654198,7284826,0.0,0.0
21,654298,7284826,0.0,0.0
22,654398,7284826,0.0,0.0
23,654498,7284826,0.0,0.0
24,654598,7284826,0.0,0.0
25,654698,7284826,0.0,0.0
26,654798,7284826,0.0,0.0
27,654898,7284826,0.0,0.0
28,654998,7284826,0.0,0.0
29,655098,7284826,0.0,0.0
30,655198,7284826,0.0,0.0
31,655298,7284826,0.0,0.0
32,655398,7284826,0.0,0.0
33,655498,7284826,0.0,0.0
34,655598,7284826,0.0,0.0
35,655698,7284826,0.0,0.0
36,655798,7284826,0.0,0.0
37,655898,7284826,0.0,0.0
38,655998,7284826,0.0,0.0
39,656098,7284826,0.0,0.0
40,656198,7284826,0.0,0.0
41,656298,7284826,0.0,0.0
42,656398,7284826,0.0,0.0
43,656498,7284826,0.0,0.0
44,656598,7284826,0.0,0.0
45,656698,7284826,0.0,0.0
46,656798,7284826,0.0,0.0
47,656898,7284826,0.0,0.0
48,656998,7284826,0.0,0.0
49,657098,7284826,0.0,0.0
50,657198,7284826,0.0,0.0
51,657298,7284826,0.0,0.0
52,657398,7284826,0.0,0.0
53,657498,7284826,0.0,0.0
54,657598,7284826,0.0,0.0
55,657698,7284826,0.0,0.0
56,657798,7284826,0.0,0.0
57,657898,7284826,0.0,0.0
58,657998,7284826,0.0,0.0
59,658098,7284826,0.0,0.0
60,658198,7284826,0.0,0.0
61,658298,7284826,0.0,0.0
62,658398,7284826,0.0,0.0
63,658498,7284826,0.0,0.0
64,658598,7284826,0.0,0.0
65,658698,7284826,0.0,0.0
66,658798,7284826,0.0,0.0
67,658898,7284826,0.0,0.0
68,658998,7284826,0.0,0.0
69,659098,7284826,0.0,0.0
70,659198,7284826,0.0,0.0
71,659298,7284826,0.0,0.0
72,659398,7284826,0.0,0.0
73,659498,7284826,0.0,0.0
74,659598,7284826,0.0,0.0
75,659698,7284826,0.0,0.0
76,659798,7284826,0.0,0.0
77,659898,7284826,0.0,0.0
78,659998,7284826,0.0,0.0
79,660098,7284826,0.0,0.0
80,660198,7284826,0.0,0.0
81,660298,7284826,0.0,0.0
82,660398,7284826,0.0,0.0
83,660498,7284826,0.0,0.0
84,660598,7284826,0.0,0.0
85,660698,7284826,0.0,0.0
86,660798,7284826,0.0,0.0
87,660898,7284826,0.0,0.0
88,660998,7284826,0.0,0.0
89,661098,7284826,0.0,0.0
90,661198,7284826,0.0,0.0
91,661298,7284826,0.0,0.0
92,661398,7284826,0.0,0.0
93,661498,7284826,0.0,0.0
94,661598,7284826,0.0,0.0
95,661698,7284826,0.0,0.0
96,661798,7284826,0.0,0.0
97,661898,7284826,0.0,0.0
98,661998,7284826,0.0,0.0
99,662098,7284826,0.0,0.0
100,662198,7284826,0.0,0.0
101,662298,7284826,0.0,0.0
102,662398,7284826,0.0,0.0
103,662498,7284826,0.0,0.0
104,662598,7284826,0.0,0.0
105,662698,7284826,0.0,0.0
106,662798,7284826,0.0,0.0
107,662898,7284826,0.0,0.0
