LESTE,OESTE,MAG,GRAV
  0.000,  0.000,-171.271 , 0.222 
 10.000,  0.000,-181.490 , 0.231 
 20.000,  0.000,-191.876 , 0.240 
 30.000,  0.000,-202.339 , 0.249 
 40.000,  0.000,-212.772 , 0.259 
 50.000,  0.000,-223.046 , 0.268 
 60.000,  0.000,-233.019 , 0.278 
 70.000,  0.000,-242.529 , 0.288 
 80.000,  0.000,-251.398 , 0.298 
 90.000,  0.000,-259.440 , 0.308 
100.000,  0.000,-266.455 , 0.317 
110.000,  0.000,-272.245 , 0.327 
120.000,  0.000,-276.611 , 0.336 
130.000,  0.000,-279.366 , 0.345 
140.000,  0.000,-280.337 , 0.354 
150.000,  0.000,-279.375 , 0.362 
160.000,  0.000,-276.358 , 0.369 
170.000,  0.000,-271.200 , 0.376 
180.000,  0.000,-263.853 , 0.383 
190.000,  0.000,-254.308 , 0.389 
200.000,  0.000,-242.600 , 0.394 
210.000,  0.000,-228.804 , 0.398 
220.000,  0.000,-213.037 , 0.401 
230.000,  0.000,-195.453 , 0.403 
240.000,  0.000,-176.239 , 0.405 
250.000,  0.000,-155.616 , 0.405 
260.000,  0.000,-133.825 , 0.405 
270.000,  0.000,-111.134 , 0.403 
280.000,  0.000,-87.820  ,0.401 
290.000,  0.000,-64.174  ,0.398 
300.000,  0.000,-40.487  ,0.394 
310.000,  0.000,-17.050  ,0.389 
320.000,  0.000,  5.860  ,0.383 
330.000,  0.000, 27.978  ,0.376 
340.000,  0.000, 49.066  ,0.369 
350.000,  0.000, 68.911  ,0.362 
360.000,  0.000, 87.336  ,0.354 
370.000,  0.000,104.198  ,0.345 
380.000,  0.000,119.394  ,0.336 
390.000,  0.000,132.862  ,0.327 
400.000,  0.000,144.574  ,0.317 
410.000,  0.000,154.541  ,0.308 
420.000,  0.000,162.803  ,0.298 
430.000,  0.000,169.430  ,0.288 
440.000,  0.000,174.511  ,0.278 
450.000,  0.000,178.154  ,0.268 
460.000,  0.000,180.478  ,0.259 
470.000,  0.000,181.607  ,0.249 
480.000,  0.000,181.671  ,0.240 
490.000,  0.000,180.797  ,0.231 
500.000,  0.000,179.108  ,0.222 
  0.000, 10.000,-176.077 , 0.232 
 10.000, 10.000,-187.239 , 0.241 
 20.000, 10.000,-198.655 , 0.251 
 30.000, 10.000,-210.229 , 0.261 
 40.000, 10.000,-221.847 , 0.272 
 50.000, 10.000,-233.371 , 0.282 
 60.000, 10.000,-244.641 , 0.293 
 70.000, 10.000,-255.476 , 0.304 
 80.000, 10.000,-265.676 , 0.314 
 90.000, 10.000,-275.022 , 0.325 
100.000, 10.000,-283.286 , 0.336 
110.000, 10.000,-290.231 , 0.346 
120.000, 10.000,-295.623 , 0.357 
130.000, 10.000,-299.237 , 0.367 
140.000, 10.000,-300.867 , 0.376 
150.000, 10.000,-300.329 , 0.385 
160.000, 10.000,-297.478 , 0.394 
170.000, 10.000,-292.206 , 0.402 
180.000, 10.000,-284.452 , 0.409 
190.000, 10.000,-274.203 , 0.415 
200.000, 10.000,-261.494 , 0.421 
210.000, 10.000,-246.413 , 0.426 
220.000, 10.000,-229.093 , 0.429 
230.000, 10.000,-209.711 , 0.432 
240.000, 10.000,-188.484 , 0.434 
250.000, 10.000,-165.663 , 0.434 
260.000, 10.000,-141.529 , 0.434 
