,LESTE,NORTE,CMA,RTP
0,677773.0,7184160.5,3.53074765205383,-383.22279151124496
1,677773.25,7184160.5,5.34227132797241,-397.9292276504803
2,677773.5,7184160.5,7.16913890838623,-389.2636596313507
3,677773.75,7184160.5,8.31918621063232,-349.7200595063554
4,677774.0,7184160.5,8.56857872009277,-327.1403205505261
5,677774.25,7184160.5,8.60347938537598,-307.1725129665354
6,677774.5,7184160.5,10.013144493103,-276.269436517493
7,677774.75,7184160.5,12.3205375671387,-230.03325229340604
8,677775.0,7184160.5,15.2235164642334,-172.8257680046815
9,677775.25,7184160.5,18.5693855285645,-150.58718235609155
10,677775.5,7184160.5,22.7432899475098,-192.42668588506598
11,677775.75,7184160.5,28.4477500915527,-250.33235567534734
12,677776.0,7184160.5,34.4771423339844,-283.358606485274
13,677776.25,7184160.5,38.8854522705078,-298.2651741156785
14,677776.5,7184160.5,41.1301155090332,-306.58656548184666
15,677776.75,7184160.5,40.5785179138184,-319.97583448036926
16,677777.0,7184160.5,39.7068405151367,-331.7795013401399
17,677777.25,7184160.5,39.4461479187012,-312.3937809197786
18,677777.5,7184160.5,39.463062286377,-305.8416306345876
19,677773.0,7184160.75,-5.62759208679199,-379.27575417480347
20,677773.25,7184160.75,-2.93994998931885,-390.9286533517826
21,677773.5,7184160.75,-0.723480880260468,-390.0738915487986
22,677773.75,7184160.75,0.415274560451508,-354.6316296673534
23,677774.0,7184160.75,0.398791551589966,-344.3175114599089
24,677774.25,7184160.75,-0.285398930311203,-327.58029532745854
25,677774.5,7184160.75,0.248621925711632,-279.87495637296104
26,677774.75,7184160.75,2.10349726676941,-216.81989555684532
27,677775.0,7184160.75,3.85886192321777,-149.09001116033093
28,677775.25,7184160.75,5.86739635467529,-117.4015787485306
29,677775.5,7184160.75,10.1701955795288,-145.2531786692599
30,677775.75,7184160.75,17.5164184570313,-178.66092148662707
31,677776.0,7184160.75,25.665994644165,-207.22102597210522
32,677776.25,7184160.75,31.7102127075195,-234.1868658510119
33,677776.5,7184160.75,35.8864707946777,-259.8970779697213
34,677776.75,7184160.75,35.7275390625,-286.43350769209144
35,677777.0,7184160.75,35.155632019043,-310.5185715133608
36,677777.25,7184160.75,35.7661819458008,-303.94883350888784
37,677777.5,7184160.75,36.5934677124023,-306.1828238803598
38,677773.0,7184161.0,-15.3567018508911,-412.03929120909976
39,677773.25,7184161.0,-12.2438144683838,-422.9199505351647
40,677773.5,7184161.0,-10.3837490081787,-428.6476042679209
41,677773.75,7184161.0,-10.0822877883911,-396.25989427569635
42,677774.0,7184161.0,-10.8321199417114,-392.7209013699103
43,677774.25,7184161.0,-13.1509065628052,-380.2103676358396
44,677774.5,7184161.0,-13.2815799713135,-332.3894915816915
45,677774.75,7184161.0,-11.760124206543,-264.7789601895522
46,677775.0,7184161.0,-12.5204553604126,-193.17888935216735
47,677775.25,7184161.0,-12.5476531982422,-134.27997945435314
48,677775.5,7184161.0,-7.83108425140381,-131.25285205950942
49,677775.75,7184161.0,1.64813804626465,-122.83059115624593
50,677776.0,7184161.0,11.2069759368896,-134.2408804173184
51,677776.25,7184161.0,19.0466079711914,-161.49164179770952
52,677776.5,7184161.0,24.0905704498291,-202.05115457232216
53,677776.75,7184161.0,25.8139095306396,-240.68013141891322
